movieId,title,year,image,imdblinks
1,Toy Story (1995),1995,https://image.tmdb.org/t/p/w500//uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,https://www.imdb.com/title/tt0114709/
2,Jumanji (1995),1995,https://image.tmdb.org/t/p/w500//z46R8oShx61gXMrAmd7ptpVqNI0.jpg,https://www.imdb.com/title/tt0113497/
3,Grumpier Old Men (1995),1995,https://image.tmdb.org/t/p/w500//dMTBXJv5Fer5KJYRek317TmGOA0.jpg,https://www.imdb.com/title/tt0113228/
4,Waiting to Exhale (1995),1995,https://image.tmdb.org/t/p/w500//4wjGMwPsdlvi025ZqR4rXnFDvBz.jpg,https://www.imdb.com/title/tt0114885/
5,Father of the Bride Part II (1995),1995,https://image.tmdb.org/t/p/w500//rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg,https://www.imdb.com/title/tt0113041/
6,Heat (1995),1995,https://image.tmdb.org/t/p/w500//obpPQskaVpSiC9RcJRB6iWDTCXS.jpg,https://www.imdb.com/title/tt0113277/
7,Sabrina (1995),1995,https://image.tmdb.org/t/p/w500//z1oNjotUI7D06J4LWQFQzdIuPnf.jpg,https://www.imdb.com/title/tt0114319/
8,Tom and Huck (1995),1995,https://image.tmdb.org/t/p/w500//vIG8hWOa7DyLMRiurzKwVAnIYoU.jpg,https://www.imdb.com/title/tt0112302/
9,Sudden Death (1995),1995,https://image.tmdb.org/t/p/w500//1pylO6YX5XdOA6QCc5IRxrrffkg.jpg,https://www.imdb.com/title/tt0114576/
10,GoldenEye (1995),1995,https://image.tmdb.org/t/p/w500//bFzjdy6ucvNlXmJwoSoYfufV6lP.jpg,https://www.imdb.com/title/tt0113189/
11,"American President, The (1995)",1995,https://image.tmdb.org/t/p/w500//yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,https://www.imdb.com/title/tt0112346/
12,Dracula: Dead and Loving It (1995),1995,https://image.tmdb.org/t/p/w500//4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg,https://www.imdb.com/title/tt0112896/
13,Balto (1995),1995,https://image.tmdb.org/t/p/w500//dCVcdb5oxDizqFLz0F7TE60NoC9.jpg,https://www.imdb.com/title/tt0112453/
14,Nixon (1995),1995,https://image.tmdb.org/t/p/w500//ORlTkdDwWU94O16MlwfIR4g5Hk.jpg,https://www.imdb.com/title/tt0113987/
15,Cutthroat Island (1995),1995,https://image.tmdb.org/t/p/w500//hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg,https://www.imdb.com/title/tt0112760/
16,Casino (1995),1995,https://image.tmdb.org/t/p/w500//znekQtDwXQrll2XYZqXOxncCgLd.jpg,https://www.imdb.com/title/tt0112641/
17,Sense and Sensibility (1995),1995,https://image.tmdb.org/t/p/w500//cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg,https://www.imdb.com/title/tt0114388/
18,Four Rooms (1995),1995,https://image.tmdb.org/t/p/w500//75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,https://www.imdb.com/title/tt0113101/
19,Ace Ventura: When Nature Calls (1995),1995,https://image.tmdb.org/t/p/w500//wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg,https://www.imdb.com/title/tt0112281/
20,Money Train (1995),1995,https://image.tmdb.org/t/p/w500//jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg,https://www.imdb.com/title/tt0113845/
21,Get Shorty (1995),1995,https://image.tmdb.org/t/p/w500//r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg,https://www.imdb.com/title/tt0113161/
22,Copycat (1995),1995,https://image.tmdb.org/t/p/w500//lKNjGQXTy5WkSjAtLzLzAN9IHCD.jpg,https://www.imdb.com/title/tt0112722/
23,Assassins (1995),1995,https://image.tmdb.org/t/p/w500//wPmZYnaQpxwoHmwNwVhZ2IY0UbF.jpg,https://www.imdb.com/title/tt0112401/
24,Powder (1995),1995,https://image.tmdb.org/t/p/w500//kImKATjY4EsK5MDgrmpJdGbQEbq.jpg,https://www.imdb.com/title/tt0114168/
25,Leaving Las Vegas (1995),1995,https://image.tmdb.org/t/p/w500//nqc2LaUWB4ePf6IqpJ6D8apBDvn.jpg,https://www.imdb.com/title/tt0113627/
26,Othello (1995),1995,https://image.tmdb.org/t/p/w500//nNP3FDHUIyztw5eq5AejZKzqXbz.jpg,https://www.imdb.com/title/tt0114057/
27,Now and Then (1995),1995,https://image.tmdb.org/t/p/w500//5nkAaadxFzzYfFyN3Q5j4VZKRsA.jpg,https://www.imdb.com/title/tt0114011/
28,Persuasion (1995),1995,https://image.tmdb.org/t/p/w500//10hycdhFLq3M3y0ONxIMSiY8Mrs.jpg,https://www.imdb.com/title/tt0114117/
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",1995,https://image.tmdb.org/t/p/w500//whwT3Q9JxbAYzEc3t7uYYcCbTMf.jpg,https://www.imdb.com/title/tt0112682/
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1995,https://image.tmdb.org/t/p/w500//tzG1UxUSfPACREjgBrsPDRUvneH.jpg,https://www.imdb.com/title/tt0115012/
31,Dangerous Minds (1995),1995,https://image.tmdb.org/t/p/w500//yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg,https://www.imdb.com/title/tt0112792/
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),1995,https://image.tmdb.org/t/p/w500//gt3iyguaCIw8DpQZI1LIN5TohM2.jpg,https://www.imdb.com/title/tt0114746/
34,Babe (1995),1995,https://image.tmdb.org/t/p/w500//zKuQMtnbVTz9DsOnOJmlW71v4qH.jpg,https://www.imdb.com/title/tt0112431/
35,Carrington (1995),1995,https://image.tmdb.org/t/p/w500//8NmeBTkC4UQa8XT2GGsBN2R8Bqo.jpg,https://www.imdb.com/title/tt0112637/
36,Dead Man Walking (1995),1995,https://image.tmdb.org/t/p/w500//wQmmJi5ypfHH2boXrQBmsep7qb2.jpg,https://www.imdb.com/title/tt0112818/
37,Across the Sea of Time (1995),1995,https://i5.walmartimages.com/asr/4add4de6-7b92-4846-8316-b7a0cbec4dc7_1.8e2f7305081b9284e56d112fe146dc90.png,https://www.imdb.com/title/tt0112286/
38,It Takes Two (1995),1995,https://image.tmdb.org/t/p/w500//sdes5TrRbymELYLG85YIxmFb1OP.jpg,https://www.imdb.com/title/tt0113442/
39,Clueless (1995),1995,https://image.tmdb.org/t/p/w500//71RW4lkES2Dt7vSLSXvekGYNskG.jpg,https://www.imdb.com/title/tt0112697/
40,"Cry, the Beloved Country (1995)",1995,https://image.tmdb.org/t/p/w500//kGPsBswFOCjiGzXq4OZwzEAAODa.jpg,https://www.imdb.com/title/tt0112749/
41,Richard III (1995),1995,https://image.tmdb.org/t/p/w500//aN2BcIH6rvGbYiRQCS8lxOdeeVQ.jpg,https://www.imdb.com/title/tt0114279/
